     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
20.06.2018; ;22;31;33;36; 6;43;--;--;5;4835356;154879; 19.532.226,00;   Jackpot; 1.250.062,40;   Jackpot;   716.263,50;        36;     9.948,10;       326;     3.295,60;     2.057;       174,10;    15.339;        46,60;    35.725;        20,00;   280.894;        11,40;   270.683;         5,00
23.06.2018; ;25;49;29;48;17; 6;--;--;1;0678755;279867; 42.374.796,00;   Jackpot; 3.962.049,30;         2; 1.155.604,80;        65;    12.268,80;       617;     3.877,50;     3.545;       224,90;    37.781;        42,20;    67.863;        23,50;   716.231;        10,00;   505.190;         5,00
27.06.2018; ;37;46;13;35;45;17;--;--;3;3015750;784654; 21.502.235,00;   Jackpot; 5.338.192,30;   Jackpot;   795.124,40;        28;    14.198,60;       337;     3.539,10;     2.131;       186,50;    18.135;        43,80;    38.151;        20,80;   316.437;        11,30;   284.746;         5,00
30.06.2018; ;24;42;40;38;16;37;--;--;9;6375504;335786; 43.812.668,00;         1;10.578.109,70;        --;           --;        47;    17.455,10;       582;     4.228,80;     3.916;       209,40;    37.099;        44,20;    73.599;        22,20;   689.766;        10,70;   538.900;         5,00
04.07.2018; ;25; 1;37; 5;32;10;--;--;8;8856435;042903; 19.915.143,00;   Jackpot; 1.274.569,10;         1;   715.468,20;        40;     8.943,30;       329;     3.262,00;     2.294;       155,90;    19.593;        36,50;    41.631;        17,10;   357.934;         8,90;   305.664;         5,00
07.07.2018; ;36;25;13; 5;18; 2;--;--;2;5340029;924724; 42.530.753,00;   Jackpot; 3.996.537,20;         3;   528.863,40;        80;     9.916,10;       760;     3.131,40;     4.041;       196,30;    40.783;        38,90;    72.980;        21,70;   726.040;         9,80;   535.501;         5,00
11.07.2018; ;44;18; 3; 1;42;28;--;--;5;9544685;049074; 20.722.358,00;         1; 5.322.768,10;         3;   252.666,10;        23;    16.478,20;       301;     3.777,40;     1.659;       228,40;    14.552;        52,00;    35.241;        21,50;   294.055;        11,50;   290.993;         5,00
14.07.2018; ;49;48;41;40;47;30;--;--;0;9837373;374252; 42.346.704,00;   Jackpot; 2.710.189,00;         8;   205.646,70;       203;     4.052,10;     2.378;     1.037,70;     3.856;       213,30;    40.672;        40,40;    55.491;        29,60;   612.633;        12,00;   402.285;         5,00
18.07.2018; ;33; 5;14;19;41;22;--;--;1;9126392;469583; 23.342.792,00;   Jackpot; 4.204.127,60;         1;   882.297,20;        34;    12.974,90;       403;     3.283,90;     1.810;       243,70;    20.028;        44,00;    35.645;        24,70;   373.306;        10,60;   270.897;         5,00
21.07.2018; ; 7;29; 6;49; 1;20;--;--;5;2380349;218652; 42.614.177,00;         1; 6.931.434,90;         5;   307.289,60;       135;     5.690,50;       965;     2.388,20;     5.889;       130,40;    48.456;        31,70;    97.277;        15,70;   788.699;         8,70;   643.060;         5,00
25.07.2018; ; 8;41; 9;39;43;40;--;--;9;4956608;592454; 19.193.711,00;   Jackpot; 1.228.397,50;         2;   358.741,10;        26;    13.797,70;       287;     3.749,90;     1.551;       231,20;    13.887;        51,60;    29.496;        24,30;   272.199;        11,80;   238.727;         5,00
28.07.2018; ;35;11; 7;31;34;36;--;--;1;6673614;824596; 41.376.707,00;   Jackpot; 3.876.506,70;         1; 1.569.441,40;        57;    13.767,00;       482;     4.884,10;     3.263;       240,40;    35.508;        44,10;    60.002;        26,10;   658.933;        10,70;   469.166;         5,00
01.08.2018; ;46;25;22;45; 2;32;--;--;2;1102310;893007; 20.670.384,00;   Jackpot; 5.199.411,20;   Jackpot;   782.483,70;        15;    26.082,70;       206;     5.697,60;     1.556;       251,40;    13.840;        56,50;    29.646;        26,30;   286.829;        12,20;   237.490;         5,00
04.08.2018; ;36;25;29;30; 6;31;--;--;3;3835661;759124; 42.966.515,00;   Jackpot; 7.949.268,10;   Jackpot; 2.377.111,70;        56;    14.237,70;       339;     7.055,80;     2.887;       276,10;    24.113;        66,10;    64.502;        24,70;   561.752;        12,70;   557.424;         5,00
08.08.2018; ;11;49; 8;40;26;18;--;--;0;8101780;837463; 21.500.471,00;   Jackpot; 9.325.298,20;         2; 1.597.535,60;        31;    13.192,80;       316;     3.882,70;     1.751;       233,50;    19.734;        41,40;    31.834;        25,60;   376.291;         9,70;   238.922;         5,00
11.08.2018; ; 5; 8;47;46;10;36;--;--;8;1240056;754848; 44.210.829,00;   Jackpot;12.154.791,20;         1; 1.617.899,10;        67;    12.073,80;       445;     5.453,50;     3.319;       243,70;    26.606;        60,80;    74.136;        21,80;   585.226;        12,40;   619.386;         5,00
15.08.2018; ;13; 6;31;24;18;29;--;--;9;1160267;206341; 22.487.958,00;   Jackpot;13.594.020,50;         1;   834.635,40;        35;    11.923,30;       439;     2.851,80;     2.222;       187,80;    21.720;        38,40;    39.389;        21,10;   394.699;         9,50;   291.679;         5,00
18.08.2018; ; 1;14;46;42;34; 3;--;--;3;2288343;178988; 45.464.011,00;   Jackpot;16.503.717,20;         2;   850.616,60;        56;    15.189,50;       432;     5.907,00;     2.975;       285,90;    25.601;        66,40;    65.904;        25,80;   566.577;        13,50;   561.995;         5,00
22.08.2018; ; 7;15;16;26; 6;32;--;--;0;9490402;934920; 23.632.223,00;   Jackpot;18.016.179,40;         3;   300.890,30;        30;    15.044,50;       389;     3.480,70;     1.882;       239,80;    24.305;        37,10;    37.075;        24,30;   453.105;         8,90;   255.388;         5,00
25.08.2018; ;37;31; 8;16;15;20;--;--;2;6322004;055251; 47.186.226,00;   Jackpot;21.036.097,80;   Jackpot; 1.792.256,40;        51;    17.571,10;       526;     5.110,90;     3.238;       276,70;    32.408;        55,30;    66.803;        26,80;   666.338;        12,10;   530.126;         5,00
29.08.2018; ;21;24; 3;17;22;39;--;--;9;3746308;980115; 25.267.745,00;   Jackpot;22.653.233,40;         2; 1.366.090,50;        44;    10.680,90;       389;     3.624,30;     2.288;       205,40;    21.993;        42,70;    43.483;        21,60;   431.063;         9,80;   323.498;         5,00
01.09.2018; ;39;46; 4;12;38;21;--;--;1;6099701;674102; 49.774.951,00;   Jackpot;25.838.830,20;         4;   471.965,00;        65;    14.522,00;       766;     3.696,80;     3.584;       263,30;    40.326;        46,80;    71.501;        26,40;   768.003;        11,00;   564.655;         5,00
05.09.2018; ;37;15; 9;46;13; 3;--;--;4;6001195;980676; 31.875.681,00;         1;29.053.125,40;        --;           --;        52;    11.290,80;       432;     4.077,20;     3.190;       184,00;    29.552;        39,70;    58.263;        20,10;   531.739;         9,90;   431.056;         5,00
08.09.2018; ;44;23;29;27;30; 6;--;--;2;2674527;394624; 44.495.899,00;   Jackpot; 2.847.737,50;         2;   840.884,80;        31;    27.125,30;       453;     5.568,70;     2.978;       282,30;    32.669;        51,40;    64.340;        26,10;   664.313;        11,30;   516.503;         5,00
12.09.2018; ;13;28; 7;24;31;32;--;--;6;8512787;308928; 21.657.123,00;   Jackpot; 4.233.793,30;         1;   765.804,00;        59;     6.489,80;       370;     3.104,60;     2.844;       134,60;    21.504;        35,60;    49.917;        15,30;   387.595;         8,80;   356.893;         5,00
15.09.2018; ;27;39;26; 1;12;14;--;--;1;0335586;829388; 44.144.477,00;   Jackpot; 7.059.039,80;         4;   417.497,90;        46;    18.152,00;       586;     4.274,70;     3.501;       238,50;    35.453;        47,10;    66.061;        25,20;   693.273;        10,80;   509.415;         5,00
19.09.2018; ; 5; 8; 3;47;30;19;--;--;0;4760236;775694; 22.076.284,00;   Jackpot; 8.471.921,90;         6;   139.684,60;        61;     6.869,70;       746;     1.685,20;     2.666;       157,10;    31.139;        26,90;    39.203;        21,30;   463.209;         8,10;   248.836;         5,00
22.09.2018; ;17;37;41;33;42;47;--;--;0;8664535;609075; 44.695.824,00;   Jackpot;11.332.454,60;         3;   576.949,80;        90;     9.615,80;     1.168;     2.222,80;     4.777;       181,10;    58.829;        29,40;    70.668;        24,40;   897.861;         8,60;   435.777;         5,00
26.09.2018; ;18;36;44;10;38;25;--;--;3;2598205;659865; 23.114.572,00;   Jackpot;12.811.787,20;         2;   422.926,10;        55;     7.689,50;       400;     3.171,90;     2.251;       187,80;    19.508;        43,30;    41.455;        20,40;   355.081;        10,70;   323.886;         5,00
29.09.2018; ; 9; 5;19; 4;16;45;--;--;7;1912041;600429; 46.758.512,00;   Jackpot;15.804.331,90;         2;   806.018,30;       151;     5.337,80;     1.006;     2.403,60;     7.412;       108,70;    53.953;        29,80;   125.662;        12,80;   923.780;         7,80;   853.269;         5,00
03.10.2018; ;33;39; 9;30;29; 3;--;--;9;9783801;472472; 23.643.029,00;         1;17.317.485,70;         3;   288.483,00;        92;     4.703,50;       546;     2.377,60;     3.020;       143,20;    23.919;        36,10;    48.426;        17,80;   428.952;         9,00;   330.774;         5,00
06.10.2018; ;21;27;45; 2;33;26;--;--;3;9009100;553468; 43.242.219,00;   Jackpot; 2.767.502,00;   Jackpot; 1.600.435,70;        41;    19.517,50;       380;     6.317,50;     3.030;       264,00;    27.545;        58,10;    67.199;        23,80;   588.183;        12,20;   569.850;         5,00
10.10.2018; ;37;14;32;18; 1;45;--;--;0;6200230;752068; 21.291.403,00;   Jackpot; 4.130.151,70;         1; 2.425.241,30;        23;    17.930,50;       274;     4.515,30;     1.358;       303,60;    14.304;        57,60;    25.526;        32,30;   289.132;        12,80;   206.999;         5,00
13.10.2018; ; 3;36; 7; 9;27;11;--;--;7;6383139;413959; 43.786.889,00;         3; 2.310.837,50;        10;   148.135,40;       302;     2.452,50;     1.669;     1.331,30;    12.199;        60,70;    77.355;        19,10;   151.438;         9,70; 1.027.961;         6,40;   855.508;         5,00
17.10.2018; ; 7;35;20;36; 9;24;--;--;2;7666891;305592; 20.047.620,00;   Jackpot; 1.283.047,60;         4;   188.730,80;        47;     8.031,00;       426;     2.658,10;     1.729;       218,30;    18.048;        41,80;    31.575;        23,90;   323.927;        10,40;   238.306;         5,00
20.10.2018; ;47; 2;16;32;45;13;--;--;7;0090371;570186; 42.614.900,00;         1; 5.548.628,80;        --;           --;        97;     7.929,00;       899;     2.566,50;     4.751;       161,80;    36.045;        42,60;    84.146;        18,20;   632.489;        10,90;   639.564;         5,00
24.10.2018; ;41;24;37;32; 5;13;--;--;7;5714533;839143; 19.707.820,00;   Jackpot; 1.261.300,40;         3;   233.126,90;        92;     3.800,90;       604;     1.736,80;     3.229;       108,20;    23.462;        29,80;    46.688;        14,90;   346.753;         9,00;   319.760;         5,00
27.10.2018; ;30;35;47;40; 8;38;--;--;2;2987847;590616; 42.479.678,00;   Jackpot; 3.979.999,70;         1; 1.620.398,40;        33;    24.551,40;       403;     6.031,20;     2.607;       310,70;    27.581;        58,70;    56.964;        28,40;   571.119;        12,70;   463.431;         5,00
31.10.2018; ; 4;40;13;22;16; 6;--;--;5;2041387;117499; 21.291.501,00;         1; 5.342.655,70;         1;   761.377,90;        29;    13.127,20;       296;     3.858,30;     2.378;       160,00;    17.933;        42,40;    44.096;        17,20;   339.854;        10,00;   333.863;         5,00
03.11.2018; ;49;18;20; 6;28;42;--;--;1;4740883;071733; 42.774.080,00;   Jackpot; 2.737.541,10;         2;   812.202,10;        61;    13.314,70;       588;     4.143,80;     3.017;       269,20;    32.383;        50,10;    60.161;        27,00;   632.023;        11,50;   481.091;         5,00
07.11.2018; ;42;41;15;37; 4;31;--;--;4;8395596;897278; 20.823.377,00;         2; 2.035.118,60;         1;   779.348,20;        26;    14.987,40;       222;     5.265,80;     1.608;       242,30;    14.481;        53,80;    32.550;        23,90;   289.007;        12,10;   257.102;         5,00
10.11.2018; ; 3;13;14;40;29;41;--;--;7;2069052;328680; 42.620.590,00;   Jackpot; 2.727.717,70;         3;   513.205,00;        56;    13.746,50;       473;     4.882,50;     3.769;       204,20;    28.461;        54,00;    76.104;        20,20;   563.804;        12,20;   637.285;         5,00
14.11.2018; ;22; 9;31; 4;27;41;--;--;9;6420483;254010; 20.686.254,00;   Jackpot; 4.051.637,90;         2;   381.195,50;        58;     6.572,30;       556;     2.056,80;     2.519;       151,30;    23.218;        32,80;    39.944;        19,00;   375.508;         9,10;   279.059;         5,00
